,timestamp,context1,context2,context3,context4,context5,context6,drawn_article,reward,article1,article2,article3,article4,article5,article6,article7,article8,article9,article10,article11,article12,article13,article14,article15,article16,article17,article18,article19,article20,article21,propensity_score
27,1241161500,1.0,0.8282299999999999,0.060691999999999996,0.023071,0.075636,0.012371,15,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
28,1241164800,1.0,0.000117,1e-06,4.2e-05,6.2e-05,0.9997790000000001,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
30,1241160900,1.0,0.034107,0.007968000000000001,0.07683999999999999,0.8801040000000001,0.000981,25,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
38,1241164200,1.0,0.566832,0.034068,0.24781199999999998,0.1509,0.000388,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
40,1241163300,1.0,0.045008,0.004850999999999999,0.005953,0.039789,0.9043979999999999,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
44,1241161500,1.0,0.0067280000000000005,4e-06,0.073896,0.001245,0.918126,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
47,1241164800,1.0,0.022396,0.9687899999999999,1.6e-05,0.008791,7.000000000000003e-06,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
48,1241162400,1.0,0.004019,3e-06,0.029294,0.000729,0.9659549999999999,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
51,1241165400,1.0,0.537556,0.0033840000000000003,0.425458,0.03335,0.000252,25,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
53,1241162700,1.0,0.00644,0.000314,0.001019,0.005033,0.987194,26,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
54,1241165400,1.0,0.062945,0.014024000000000002,0.002536,0.021243,0.899252,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
56,1241161800,1.0,0.0017579999999999998,2.4e-05,0.001053,0.00157,0.9955940000000001,13,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
61,1241163600,1.0,0.006714,0.002392,0.001384,0.028575,0.960933,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
66,1241163300,1.0,0.31938099999999997,0.002445,0.5978680000000001,0.070574,0.009732,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
70,1241165400,1.0,0.20339400000000002,0.676428,0.001433,0.116948,0.001797,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
71,1241164200,1.0,0.553029,0.045877,0.09412899999999999,0.291508,0.015456999999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
72,1241163300,1.0,0.0006490000000000001,3.3e-05,0.00014099999999999998,0.0007700000000000001,0.9984069999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
73,1241163300,1.0,0.428516,0.022331999999999998,0.42149200000000003,0.127082,0.000579,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
75,1241164200,1.0,0.011373999999999999,2.7000000000000002e-05,0.010762,0.0008529999999999999,0.976984,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
81,1241161800,1.0,0.0006580000000000001,1e-05,0.00022,0.00041600000000000003,0.9986959999999999,13,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
88,1241165400,1.0,0.19561900000000002,0.754694,0.00049,0.048162,0.001034,24,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
91,1241160900,1.0,0.00023999999999999998,0.0,0.990527,0.009231,1e-06,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
92,1241161800,1.0,0.081262,0.0064849999999999994,0.007120000000000001,0.033770999999999995,0.8713620000000001,9,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
93,1241161500,1.0,0.739046,0.068732,0.055614,0.135232,0.001375,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
95,1241161200,1.0,0.002876,7.6e-05,0.001085,0.003112,0.99285,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
97,1241161800,1.0,0.04967,0.714086,0.000335,0.233042,0.002867,15,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
101,1241163000,1.0,0.00023999999999999998,3e-06,7.099999999999999e-05,0.00021899999999999998,0.999467,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
104,1241163600,1.0,0.015466999999999996,0.000614,0.010083,0.023274,0.9505610000000001,23,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
109,1241162100,1.0,0.371639,0.060899,0.085392,0.478962,0.003109,23,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
116,1241164500,1.0,0.00028900000000000003,9e-06,7.2e-05,0.00037,0.9992610000000001,28,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
118,1241162700,1.0,9.2e-05,2e-06,2.3e-05,7.3e-05,0.999811,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
124,1241162400,1.0,0.630989,0.093053,0.054169000000000016,0.208236,0.013553999999999998,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
127,1241161800,1.0,0.02482,0.005572,0.10749700000000001,0.8613219999999999,0.000789,28,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
128,1241163000,1.0,0.4375520000000001,0.020855000000000002,0.170158,0.259126,0.11230899999999999,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
130,1241164200,1.0,0.125583,0.45573800000000003,0.001638,0.253604,0.163437,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
131,1241161500,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,30,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
146,1241163600,1.0,0.060997,0.002612,0.09239800000000001,0.8095640000000001,0.034429,19,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
147,1241163300,1.0,0.22895300000000002,0.039104,0.16503299999999999,0.5667479999999999,0.000161,28,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
154,1241162400,1.0,0.048151,0.000134,0.785605,0.13580899999999999,0.0303,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
155,1241162100,1.0,0.004874,0.000261,0.00534,0.021092,0.968433,16,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
163,1241165700,1.0,0.014227000000000004,0.0036869999999999997,0.062975,0.580605,0.338505,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
174,1241163900,1.0,0.560578,0.090421,0.055722,0.287092,0.006188,25,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
177,1241164800,1.0,0.001726,5.6999999999999996e-05,0.000308,0.000991,0.996919,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
178,1241161800,1.0,0.664068,0.073064,0.041332,0.212738,0.008798,19,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
180,1241162400,1.0,0.030832,0.00109,0.0020350000000000004,0.003655,0.9623879999999999,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
181,1241161500,1.0,0.11527899999999999,0.0029530000000000003,0.305822,0.574712,0.001233,26,1,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
183,1241163000,1.0,3.1e-05,1e-06,2e-06,4e-06,0.9999629999999999,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
185,1241164800,1.0,0.388841,0.005804,0.246797,0.313566,0.044993,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
196,1241164800,1.0,0.0016879999999999998,0.000176,0.000194,0.004161,0.9937809999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
201,1241164800,1.0,0.48366899999999996,0.022165999999999998,0.160937,0.33213000000000004,0.001098,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
208,1241165700,1.0,0.00351,4.8e-05,0.000699,0.00064,0.995102,33,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
210,1241163300,1.0,0.023696000000000002,0.000202,0.78904,0.186661,0.000401,26,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
229,1241163300,1.0,6.9e-05,2e-06,9e-06,4.3e-05,0.999876,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
231,1241161500,1.0,0.057632,0.017749,0.11863299999999999,0.8059390000000001,4.8e-05,29,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
232,1241163600,1.0,0.004646,0.00023799999999999998,0.000976,0.004423,0.989718,14,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
233,1241163600,1.0,0.32974499999999995,0.023337,0.183108,0.46254700000000004,0.0012619999999999999,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
235,1241161500,1.0,0.032688,3.1e-05,0.9284290000000001,0.037418,0.001433,22,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
246,1241163000,1.0,0.00162,0.000145,0.000786,0.005703,0.9917459999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
247,1241161800,1.0,0.064087,0.007533,0.08843999999999999,0.8356950000000001,0.0042450000000000005,13,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
251,1241164200,1.0,0.006085,0.022424,2.8999999999999997e-05,0.006345,0.965117,33,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
254,1241165700,1.0,0.034487000000000004,0.000223,0.006973999999999999,0.005699,0.952617,25,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
259,1241160900,1.0,0.41355699999999995,0.019594999999999998,0.304872,0.261891,8.499999999999999e-05,26,1,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
260,1241164800,1.0,0.033489,0.8715709999999999,0.000168,0.09472,5.2000000000000004e-05,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
263,1241162700,1.0,0.2141760000000001,0.088876,0.00041600000000000003,0.004188,0.692343,14,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
268,1241164800,1.0,0.20984,0.172691,0.096412,0.5209229999999999,0.000134,15,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
269,1241161500,1.0,0.553029,0.045877,0.09412899999999999,0.291508,0.015456999999999999,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
270,1241162100,1.0,0.001842,1.4999999999999999e-05,0.000386,9.8e-05,0.997658,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
271,1241162700,1.0,2.5e-05,2e-06,0.0,1e-06,0.999972,28,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
274,1241161800,1.0,0.022622999999999997,8e-06,0.9720979999999999,0.005107,0.000164,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
278,1241162100,1.0,0.254542,0.0036420000000000003,0.516526,0.22358499999999998,0.0017050000000000001,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
281,1241164800,1.0,0.000597,0.0009019999999999999,5.400000000000001e-05,0.029425,0.9690219999999999,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
284,1241161800,1.0,0.059749000000000003,0.003278,0.015169,0.073919,0.847884,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
288,1241163900,1.0,0.000697,2e-06,0.000705,0.000183,0.9984129999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
290,1241162400,1.0,0.005901,0.000155,0.018571,0.036076,0.9392969999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
296,1241162700,1.0,0.258297,0.001773,0.658313,0.07924099999999999,0.002376,28,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
299,1241161500,1.0,0.069779,0.4293770000000001,0.002112,0.395642,0.103091,13,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
305,1241164200,1.0,0.202688,0.087391,0.04718,0.6595439999999999,0.003198,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
309,1241163900,1.0,0.098125,0.00010400000000000001,0.128228,0.001614,0.771929,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
315,1241161800,1.0,0.059747,0.004051,0.162916,0.769516,0.0037700000000000003,13,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
316,1241164800,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,19,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
318,1241165700,1.0,0.136104,0.000273,0.06055,0.0019329999999999998,0.801139,25,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
321,1241164500,1.0,0.000294,4e-06,2e-05,4.3e-05,0.99964,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
327,1241164200,1.0,0.000102,1e-06,3.3e-05,1.9e-05,0.9998459999999999,18,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
329,1241161200,1.0,0.025006,0.021666,0.030920999999999997,0.9223950000000001,1.2e-05,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
332,1241163000,1.0,0.044932,0.08390700000000001,0.004089,0.8560450000000001,0.011027,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
335,1241165400,1.0,6.9e-05,2e-06,9e-06,4.3e-05,0.999876,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
339,1241163300,1.0,0.183792,0.777196,0.0005650000000000001,0.037507,0.0009400000000000001,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
343,1241164500,1.0,0.0008150000000000001,9e-06,0.002186,0.003467,0.993524,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
349,1241164500,1.0,0.005965,1.7e-05,0.97251,0.021504,4e-06,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
350,1241163900,1.0,0.015019999999999999,4.6e-05,0.029512,0.002686,0.952736,27,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
351,1241161800,1.0,0.00033,3e-06,0.000234,0.00018700000000000002,0.9992469999999999,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
353,1241162700,1.0,5e-06,0.0,6e-06,2.2e-05,0.999967,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
357,1241162400,1.0,0.192948,0.789218,0.001045,0.016394,0.000395,33,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
363,1241162400,1.0,0.005676,8e-06,0.21633200000000002,0.0064659999999999995,0.771518,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
366,1241164200,1.0,0.015569999999999999,0.795304,0.000117,0.188972,3.7e-05,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
368,1241162400,1.0,0.03936,0.000323,0.890343,0.069849,0.000125,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
372,1241164200,1.0,0.21047800000000005,0.000538,0.324023,0.009292,0.45566899999999994,14,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
373,1241161500,1.0,0.078775,0.12339000000000001,0.03505,0.596967,0.165819,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
374,1241163300,1.0,0.08756599999999999,0.044538,0.10426099999999999,0.763089,0.000546,26,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
375,1241163900,1.0,0.019150999999999998,0.006117,0.106225,0.8537440000000001,0.014763,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
376,1241163600,1.0,0.015797,0.005919,0.005837,0.407771,0.5646760000000001,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
378,1241161800,1.0,0.015992,7.000000000000003e-06,0.889036,0.01351,0.081455,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
379,1241163000,1.0,0.045495,4e-05,0.9429540000000001,0.011498999999999999,1.2e-05,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
380,1241163000,1.0,0.124545,0.028277999999999998,0.110422,0.736472,0.00028399999999999996,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
382,1241163000,1.0,0.180007,0.048772,0.094358,0.6766399999999999,0.000223,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
395,1241162400,1.0,0.553029,0.045877,0.09412899999999999,0.291508,0.015456999999999999,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
399,1241162400,1.0,0.013352000000000001,0.018866,0.005029,0.9621379999999999,0.000615,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
400,1241161500,1.0,6.9e-05,2e-06,9e-06,4.3e-05,0.999876,23,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
402,1241163000,1.0,0.007973000000000001,0.9209440000000001,7.5e-05,0.071006,2e-06,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
404,1241161500,1.0,6.9e-05,2e-06,9e-06,4.3e-05,0.999876,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
407,1241162700,1.0,0.025389,0.0008759999999999999,0.008159999999999999,0.025057,0.940517,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
408,1241164500,1.0,0.560578,0.090421,0.055722,0.287092,0.006188,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
409,1241163600,1.0,5.5e-05,0.0,1.4000000000000001e-05,6e-06,0.999925,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
414,1241163600,1.0,0.063289,0.0014,0.141738,0.091183,0.70239,24,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
416,1241162100,1.0,0.047048,0.42241999999999996,0.001517,0.5275529999999999,0.001462,20,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
417,1241161500,1.0,9e-06,0.0,0.00067,9.7e-05,0.999225,15,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
421,1241162400,1.0,0.160487,0.011963,0.254658,0.570122,0.002769,18,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
423,1241163600,1.0,0.61562,0.012411,0.23800700000000002,0.12253,0.011432,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
425,1241161800,1.0,0.553029,0.045877,0.09412899999999999,0.291508,0.015456999999999999,17,1,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
437,1241162400,1.0,0.022323,0.001504,0.003602,0.021223,0.951348,29,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.02
444,1241162400,1.0,0.618809,0.078446,0.056587,0.240436,0.005722,25,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
445,1241163000,1.0,9.2e-05,2e-06,1e-05,2.7000000000000002e-05,0.999869,30,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
447,1241162700,1.0,7.4e-05,0.0,0.000166,0.000193,0.999566,11,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
455,1241161800,1.0,6.9e-05,2e-06,9e-06,4.3e-05,0.999876,21,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.2
459,1241162100,1.0,0.089922,0.06993400000000001,0.027357999999999997,0.812399,0.000388,24,0,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
463,1241165400,1.0,0.17038599999999998,0.015835,0.08730299999999999,0.080239,0.646237,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
464,1241164500,1.0,0.14641600000000002,0.041918000000000004,0.115951,0.6916640000000001,0.004051,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
468,1241163600,1.0,0.036172,0.036186,0.025175,0.9019280000000001,0.000539,20,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
474,1241162100,1.0,0.518881,0.10546900000000001,0.038981,0.32268800000000003,0.013982,21,1,17,24,23,11,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,9,,0.02
476,1241165400,1.0,0.009138,0.000449,0.00031,0.0028309999999999997,0.9872719999999999,14,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
479,1241164200,1.0,0.000739,7.000000000000003e-06,0.001033,0.0013880000000000001,0.996833,16,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
482,1241164800,1.0,0.013380000000000001,1e-06,0.939091,0.003595,0.043933,13,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.2
485,1241162400,1.0,0.020153,0.000332,0.6467069999999999,0.33266599999999996,0.00014199999999999998,29,1,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,21,30,27,28,26,34.0,0.2
489,1241163600,1.0,0.000129,1e-06,1.7e-05,3.4e-05,0.999819,33,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
490,1241165100,1.0,0.00024300000000000002,6e-06,7.2e-05,0.00025,0.9994290000000001,22,0,17,24,23,11,33,20,19,18,14,16,15,13,22,25,29,27,30,28,26,9,,0.02
